1642 words in corpus

sentences  words  word_percentage    sentence
        1      8            11.5%    Traddles, that, at the expiration of that period, Mr.
        2     16            21.1%    I would rather not, she said to the Doctor.
        3     24            27.2%    So the Doctor persisted in making the engagement for her, and Mr.
        4     32            32.6%    Why, my dear Copperfield, said the Doctor, you are a man!
        5     39            36.3%    His pockets were as full of it as his head.
        6     44            39.1%    I hoped he was well, and Mrs.
        7     52            41.9%    He would be ELIGIBLE, returned Traddles, with a strong emphasis on that word.
        8     58            44.5%    Micawber and our offspring will accompany me.
        9     66            46.8%    I dont know how he should have had, for it was new enough to me.
       10     74            48.5%    We exhorted him to be resolute in this, and left my aunt to observe him.
       11     82            49.9%    And I went on at a mighty rate, as if it could be done by walking.
       12     90            51.2%    But somebody is always being murdered, and I didnt read it.
       13     98            52.4%    said the Doctor,—which he had always made a very grave appeal to the honour of us boys.
       14    106            53.5%    We had not been seated long, when I saw an approaching arrival in Mrs.
       15    114            54.5%    Its very gratifying and agreeable to me, I am sure; but dont you think you could do better?
       16    122            55.5%    I have little doubt he would have preferred such an employment in his heart to all others.
       17    130            56.2%    I explained to Traddles that there was a difficulty in keeping King Charles the First out of Mr.
       18    138            57.1%    Then be it so, said the Doctor, clapping me on the shoulder, and still keeping his hand there, as we still walked up and down.
       19    146            57.8%    Dick, who had been with me to Highgate twice already, and had resumed his companionship with the Doctor, I took with me.
       20    154            58.5%    Micawber, assuming a profound air, a judge, or even say a Chancellor.
       21    162            59.4%    She did not look very happy, I thought; but it was a good face, or a very false one.
       22    170            60.0%    I got into such a transport, that I felt quite sorry my coat was not a little shabby already.
       23    177            60.7%    Theres a long statement in the papers, sir, about a murder, observed Mr.
       24    185            61.4%    The Doctor looked grave, and said, as though he wished to change the subject, Then theres no news at all; and no news, they say, is good news.
       25    193            62.1%    Micawber—but glancing inquisitively at Traddles, too; we have time enough before us, for the consideration of those questions.
       26    201            62.6%    I wondered then, whether she would have gone if Agnes had not been in town, and whether Agnes had some good influence over her too!
       27    207            63.2%    Micawber, though it is possible I may be mistaken in my view of the ceremony, I never will!
       28    213            63.7%    I stimulated myself into such a heat, and got so out of breath, that I felt as if I had been earning I dont know how much.
       29    221            64.2%    I also became once more known to his sister, Miss Micawber, in whom, as Mr.
       30    226            64.7%    Jack Maldon was to come back to dinner.
       31    233            65.5%    Jack Maldon to suspect from this account that it was a place where there was not much to do, and which was pretty well paid.
       32    241            66.2%    I was pretty busy now; up at five in the morning, and home at nine or ten at night.
       33    249            66.7%    We were to work two hours every morning, and two or three hours every night, except on Saturdays, when I was to rest.
       34    257            67.3%    I hardly ever take breakfast, sir, he replied, with his head thrown back in an easy-chair.
       35    263            67.7%    But, my good young friend, whats seventy pounds a year?
       36    271            68.2%    Traddles imitated me in the first particular, but did not consider himself a sufficiently old friend to venture on the second.
       37    279            68.6%    What I had to do, was, to turn the painful discipline of my younger days to account, by going to work with a resolute and steady heart.
       38    287            69.1%    The Doctor, ever pleased with what was likely to please his young wife, turned to her and said:  You must go, Annie.
       39    295            69.5%    Micawber, myself, and our offspring, to thank them in the warmest and most uncompromising terms for their good wishes.
       40    303            69.9%    Micawber has written in the most gentlemanly terms, announcing that fact, have not taken the least notice of Mr.
       41    310            70.3%    These observations, and indeed the greater part of the observations made that evening, were interrupted by Mrs.
       42    318            70.6%    I wanted to be cutting at those trees in the forest of difficulty, under circumstances that should prove my strength.
       43    326            71.0%    Micawber never missed any possible opportunity of writing a letter) was addressed to me, By the kindness of T.
       44    334            71.3%    Traddles, of the obligation which I took upon myself when I repeated the irrevocable words, I, Emma, take thee, Wilkins.
       45    342            71.7%    Thomas Traddles, without acquitting myself of the pecuniary part of this obligation, would weigh upon my mind to an insupportable extent.
       46    349            72.0%    Our plans being thus arranged to our mutual satisfaction, the Doctor took me into the house to present me to Mrs.
       47    357            72.4%    My first care, after putting myself under this necessary course of preparation, was to find the Doctors house.
       48    365            72.8%    Micawber referred upon a former occasion, being thrown down in the form of an advertisement, was taken up by my friend Heep, and led to a mutual recognition.
       49    369            73.1%    With the new life, came new purpose, new intention.
       50    377            73.5%    What I had to do, was, to take my woodmans axe in my hand, and clear my own way through the forest of difficulty, by cutting down the trees until I came to Dora.
